Function,Method,ISE,RMSE,Boundary RMSE,Time
Smooth periodic,Linear,0.202765699642734,0.45029512504882174,0.5283858530734489,0.0008426000003964873
Smooth periodic,Polynomial,0.004794438845496186,0.06924188649579231,0.0962334399708958,0.0010860000002139714
Smooth periodic,Nadaraya-Watson,0.002701673354586341,0.05197762359502733,0.08350964884517523,0.0003468999984761467
Smooth periodic,Local linear,0.0015706295880763825,0.03963116940081863,0.05247707150640756,0.003735199999937322
Smooth periodic,Local quadratic,0.0008341761428303917,0.02888210765907488,0.03615381351791925,0.0039378000001306646
Smooth periodic,B-spline,0.0004519968907168736,0.021260218501155476,0.036816560667872304,0.0008168999993358739
Smooth periodic,Smoothing spline,0.004794438845496203,0.06924188649579244,0.09623343997089512,6.949999988137279e-05
Smooth periodic,Linear,0.20279020152004004,0.45032233069218325,0.6629056042382458,0.00039849999848229345
Smooth periodic,Polynomial,0.005272409928070853,0.0726113622518601,0.10235976330449052,0.0008115999989968259
Smooth periodic,Nadaraya-Watson,0.0029014939245206256,0.05386551702639292,0.09673323592970026,0.00020360000053187832
Smooth periodic,Local linear,0.001203917732357148,0.03469751766851842,0.05552903286594696,0.005670399999871734
Smooth periodic,Local quadratic,0.0011827347561862603,0.034390910953132084,0.05922183321793443,0.003977100001065992
Smooth periodic,B-spline,0.0010501224921617696,0.03240559353200879,0.05286291463419268,0.0008280000001832377
Smooth periodic,Smoothing spline,0.005272409928070923,0.07261136225186057,0.10235976330449206,6.84000006003771e-05
Smooth periodic,Linear,0.20566710104864047,0.45350534842341217,0.4984659979572946,0.0004231999992043711
Smooth periodic,Polynomial,0.004721155046376183,0.06871066181005814,0.0892167401388232,0.0006914999994478421
Smooth periodic,Nadaraya-Watson,0.0014287658388349544,0.037799019019479255,0.06138683350782165,0.00021180000112508424
Smooth periodic,Local linear,0.0005158972532033992,0.022713371682852354,0.021032349768402934,0.0036847000010311604
Smooth periodic,Local quadratic,0.0005386914300462384,0.023209727056694104,0.029563500675483693,0.003993099999206606
Smooth periodic,B-spline,0.00034523506649703054,0.01858050232090162,0.016357772407653022,0.0007884999995440012
Smooth periodic,Smoothing spline,0.004721155046376132,0.06871066181005778,0.08921674013882158,8.660000094096176e-05
Smooth periodic,Linear,0.20872251115050797,0.45686158861356246,0.7423861733522111,0.00037990000055287965
Smooth periodic,Polynomial,0.00555146400261748,0.07450814722308884,0.11199112118766763,0.0006721999998262618
Smooth periodic,Nadaraya-Watson,0.0059075738056202825,0.07686074294215664,0.14075962407343395,0.0002285999999003252
Smooth periodic,Local linear,0.001675509618349406,0.04093298936492919,0.03576074593746986,0.0037033999997220235
Smooth periodic,Local quadratic,0.0013087606376309007,0.03617679695095878,0.040315844837617555,0.004019699999844306
Smooth periodic,B-spline,0.0020701956432448987,0.045499402669099936,0.04704606082483795,0.0008202999997592997
Smooth periodic,Smoothing spline,0.005551464002617431,0.0745081472230885,0.11199112118767215,6.709999979648273e-05
Smooth periodic,Linear,0.20043680276307538,0.44770168947980904,0.6108212413026166,0.00035790000038105063
Smooth periodic,Polynomial,0.005801221959048104,0.07616575319031581,0.12585028689715108,0.0006670000002486631
Smooth periodic,Nadaraya-Watson,0.0033165666793290908,0.057589640382008735,0.06119288982646604,0.00021100000049045775
Smooth periodic,Local linear,0.003323938835113998,0.057653610772561315,0.06498949336743105,0.003599499999836553
Smooth periodic,Local quadratic,0.0017559532694321545,0.04190409609372519,0.057684181894618616,0.0038671000002068467
Smooth periodic,B-spline,0.0027368517580585007,0.052314928634745364,0.06785233019502049,0.0007820000009814976
Smooth periodic,Smoothing spline,0.005801221959047827,0.076165753190314,0.12585028689714398,8.469999920635018e-05
Smooth periodic,Linear,0.2042690148677343,0.45196129797553936,0.6065880987900804,0.00032619999910821207
Smooth periodic,Polynomial,0.004918260475773451,0.07013031067786205,0.08689719908003006,0.000643899998976849
Smooth periodic,Nadaraya-Watson,0.004274002377894732,0.06537585470106476,0.10659164419083035,0.0002229999990959186
Smooth periodic,Local linear,0.0023034313488384207,0.047994076184862865,0.06774878227604032,0.003681700000015553
Smooth periodic,Local quadratic,0.0013698400654368855,0.03701135049463725,0.046942874071660735,0.003914900000381749
Smooth periodic,B-spline,0.002635430532319872,0.051336444484594686,0.08201886624186597,0.0007980999998835614
Smooth periodic,Smoothing spline,0.0049182604757735185,0.07013031067786253,0.0868971990800307,8.739999975659885e-05
Smooth periodic,Linear,0.2007666825729018,0.44806995276731265,0.6400459447695117,0.000346200000421959
Smooth periodic,Polynomial,0.00476068533358776,0.06899771977092982,0.0871925813218704,0.00065569999969739
Smooth periodic,Nadaraya-Watson,0.0026153091738425984,0.05114009360416344,0.07576308332846259,0.00021209999977145344
Smooth periodic,Local linear,0.0012392132161214331,0.03520246037028425,0.029821974558240146,0.003612099999372731
Smooth periodic,Local quadratic,0.0005247352278636632,0.022907099944420358,0.028770679462422344,0.004015599999547703
Smooth periodic,B-spline,0.0008989429400370331,0.029982377157874475,0.029318358991573926,0.0008018999997148057
Smooth periodic,Smoothing spline,0.004760685333587722,0.06899771977092956,0.08719258132187048,6.649999886576552e-05
Smooth periodic,Linear,0.20204976999522842,0.4494994660677901,0.6722073788838517,0.00034129999949072953
Smooth periodic,Polynomial,0.004632920447237986,0.06806555992010928,0.08400306069202597,0.0006726000010530697
Smooth periodic,Nadaraya-Watson,0.0038922812293336866,0.0623881497508436,0.12160806223565705,0.00020899999981338624
Smooth periodic,Local linear,0.0011979706321736232,0.03461171235540974,0.04366913179086123,0.003617800000938587
Smooth periodic,Local quadratic,0.0007543833066520082,0.027466039151140962,0.036975427127242715,0.003920099999959348
Smooth periodic,B-spline,0.0009507451399838827,0.03083415541220292,0.05401744900458973,0.0008132000002660789
Smooth periodic,Smoothing spline,0.0046329204472379615,0.0680655599201091,0.084003060692025,7.090000144671649e-05
Smooth periodic,Linear,0.20052100936477932,0.4477957228075982,0.6385216667904691,0.0003558999997039791
Smooth periodic,Polynomial,0.005524810282407433,0.07432906754700636,0.11832674911335762,0.0006266000000323402
Smooth periodic,Nadaraya-Watson,0.002201200919754817,0.046916957699267084,0.07542531633994518,0.0002234999992651865
Smooth periodic,Local linear,0.0016604108778701565,0.04074813956329978,0.0657428129223315,0.003780499999265885
Smooth periodic,Local quadratic,0.0009324978732348175,0.03053682814626983,0.052080247689684785,0.0038479999984701863
Smooth periodic,B-spline,0.0014825294629806517,0.03850362921830423,0.06529123888740843,0.0008120000002236338
Smooth periodic,Smoothing spline,0.005524810282407407,0.07432906754700618,0.11832674911335596,6.599999869649764e-05
Smooth periodic,Linear,0.20205667099181374,0.44950714231457295,0.6630294059064086,0.00038379999932658393
Smooth periodic,Polynomial,0.0051017238521105426,0.0714263526445985,0.10650554864375365,0.0006959999991522636
Smooth periodic,Nadaraya-Watson,0.003877183357146135,0.062267032666942904,0.10842242734263041,0.00020769999900949188
Smooth periodic,Local linear,0.0021213863706944828,0.04605851029608408,0.06544872189926589,0.003619799999796669
Smooth periodic,Local quadratic,0.0019638225791755583,0.044315037844681555,0.058061223538521986,0.005181399999855785
Smooth periodic,B-spline,0.0016534774538074246,0.04066297399118053,0.06532914029490641,0.0008224000011978205
Smooth periodic,Smoothing spline,0.0051017238521106675,0.07142635264459937,0.10650554864375437,6.749999920430128e-05
Smooth periodic,Linear,0.20420380736096747,0.4518891538430276,0.6825823667418035,0.0004158000010647811
