Noise,Method,RMSE,Median absolute error
Normal,Nadaraya-Watson,0.08248106094901579,0.04522528156234251
Normal,Local linear,0.04879162236737957,0.030846642941127156
Normal,B-spline,0.05932672521120324,0.03846482274164881
Normal,Smoothing spline,0.0716567491878898,0.05833301139839975
Normal,Nadaraya-Watson,0.06280161415994014,0.03088869861762389
Normal,Local linear,0.03938119628036112,0.01822865732419883
Normal,B-spline,0.03899160730464523,0.019894045285927642
Normal,Smoothing spline,0.07029867836379529,0.06261725494822395
Normal,Nadaraya-Watson,0.05105354838710706,0.024709786279814475
Normal,Local linear,0.0291734474741583,0.023047864676443312
Normal,B-spline,0.025106995346622703,0.019742463718815717
Normal,Smoothing spline,0.07003999405354505,0.06174773219252001
Normal,Nadaraya-Watson,0.08042515536099737,0.036646043088882495
Normal,Local linear,0.040250811868393,0.032067891218405975
Normal,B-spline,0.03615766570347812,0.022198934754332933
Normal,Smoothing spline,0.07105060115448687,0.0680682412227109
Normal,Nadaraya-Watson,0.05733035376123649,0.0368295915947513
Normal,Local linear,0.04584532722509273,0.03407164219841352
Normal,B-spline,0.046500411258556355,0.029857522548201204
Normal,Smoothing spline,0.06988137610190769,0.05878169340236139
Normal,Nadaraya-Watson,0.05485181202821288,0.028817460676491935
Normal,Local linear,0.05308547446032982,0.04719239784237653
Normal,B-spline,0.02743619094305364,0.01586823948170063
Normal,Smoothing spline,0.07928485570023916,0.04824723600838321
Normal,Nadaraya-Watson,0.06498803392701949,0.04986783416195524
Normal,Local linear,0.055100059456758006,0.04006614140564854
Normal,B-spline,0.03865042439626433,0.021470605085767813
Normal,Smoothing spline,0.07498671145440555,0.054615109724041766
Normal,Nadaraya-Watson,0.06606929852757444,0.0313219318809273
Normal,Local linear,0.048131532600391255,0.033706955564283325
Normal,B-spline,0.036249605962639646,0.03355544774381557
Normal,Smoothing spline,0.07456584444984288,0.055006750546311795
Normal,Nadaraya-Watson,0.05789236776572097,0.03321249197838365
Normal,Local linear,0.050789166904926596,0.02803967293564877
Normal,B-spline,0.04529321332162286,0.038691911721787486
Normal,Smoothing spline,0.07151851662975274,0.056979184361242274
Normal,Nadaraya-Watson,0.0674952049168608,0.028527693597965864
Normal,Local linear,0.0511440781098055,0.029577132259639472
Normal,B-spline,0.03799460375290073,0.021043415074820437
Normal,Smoothing spline,0.07403558603780437,0.0601747244322115
Normal,Nadaraya-Watson,0.05649213634629746,0.028183110163753855
Normal,Local linear,0.04124900829311528,0.031168169910737786
Normal,B-spline,0.02956477001214772,0.026346291147356538
Normal,Smoothing spline,0.07298065297181953,0.05508813545073463
Normal,Nadaraya-Watson,0.05101333608768924,0.027968870982176056
Normal,Local linear,0.05230718099963372,0.033244949958331715
Normal,B-spline,0.053180934331201565,0.03263064429797259
Normal,Smoothing spline,0.08024977159169802,0.04961975401513741
Normal,Nadaraya-Watson,0.0544164128745937,0.03767707500426809
Normal,Local linear,0.05818935361155478,0.05170442464380162
Normal,B-spline,0.030854542835818583,0.026265901368678235
Normal,Smoothing spline,0.07641212960402237,0.05569419658806096
Normal,Nadaraya-Watson,0.045397623718617594,0.029097364448263517
Normal,Local linear,0.037260579884967435,0.021142281103787075
Normal,B-spline,0.03157721597136004,0.021126709884070505
Normal,Smoothing spline,0.0731201910824506,0.05516494462526578
Normal,Nadaraya-Watson,0.05660976506070156,0.03308379642970353
Normal,Local linear,0.04338609037050711,0.03106731128965392
Normal,B-spline,0.03742965850511353,0.027534816075773738
Normal,Smoothing spline,0.07449913768104457,0.05219102754308386
Normal,Nadaraya-Watson,0.044960304960180796,0.01921546664405592
Normal,Local linear,0.0338932949353776,0.021204970568715176
Normal,B-spline,0.020841782135995104,0.014199675061406514
Normal,Smoothing spline,0.06864126784765,0.06016666410150451
Normal,Nadaraya-Watson,0.05360860320915893,0.028942090986815064
Normal,Local linear,0.0340105577338111,0.015404646485129687
Normal,B-spline,0.03440253374305921,0.026656847994773303
Normal,Smoothing spline,0.0754846628418855,0.050763069883827616
Normal,Nadaraya-Watson,0.054044244395087024,0.033473650687882786
Normal,Local linear,0.044199535214550306,0.03277502434562371
Normal,B-spline,0.028554823924755873,0.023485387663001178
Normal,Smoothing spline,0.07218197382540077,0.05373956089195708
Normal,Nadaraya-Watson,0.0502112336317012,0.028020627891468627
Normal,Local linear,0.031609991276254364,0.019413517747239345
Normal,B-spline,0.02283018547742875,0.015243203816208278
Normal,Smoothing spline,0.06820876918818222,0.06273660855968333
Normal,Nadaraya-Watson,0.04429110470613566,0.024271391697262456
Normal,Local linear,0.03850322999477126,0.025339952739805383
Normal,B-spline,0.05328041500674944,0.043120540255151774
Normal,Smoothing spline,0.07298521268619391,0.056037947290188767
Normal,Nadaraya-Watson,0.058447271155766124,0.032821627437275416
Normal,Local linear,0.04390118098708554,0.03232162268273209
Normal,B-spline,0.033131715896925616,0.02007213556426185
Normal,Smoothing spline,0.07606934318328173,0.05694584913199141
Normal,Nadaraya-Watson,0.05907128243524624,0.04428510401779018
Normal,Local linear,0.039941869325010274,0.02828607999796151
Normal,B-spline,0.04105170503294054,0.018750085015831808
Normal,Smoothing spline,0.07307636415182606,0.051717903923374414
Normal,Nadaraya-Watson,0.05076464895822918,0.02205595669308802
Normal,Local linear,0.038914225276357475,0.03554120678658329
Normal,B-spline,0.01965729269521088,0.012335183608985167
Normal,Smoothing spline,0.07156763554210897,0.056055793711481394
Normal,Nadaraya-Watson,0.06027313167162304,0.037671647947497236
Normal,Local linear,0.04008345034555499,0.028244143738471207
Normal,B-spline,0.02545366313229054,0.02005489730720794
Normal,Smoothing spline,0.0733289163512127,0.054223814705369716
Normal,Nadaraya-Watson,0.06409466499308786,0.04107885147295426
Normal,Local linear,0.03804844709432711,0.032721325086099276
Normal,B-spline,0.037703254141604935,0.025873990444039374
Normal,Smoothing spline,0.07164568807406536,0.051836556146521134
Normal,Nadaraya-Watson,0.06461199370824354,0.0366117602702406
Normal,Local linear,0.03825923152977424,0.02581174749129235
Normal,B-spline,0.025219330285739548,0.01739441999113126
Normal,Smoothing spline,0.07669698981034517,0.05192058826763381
Normal,Nadaraya-Watson,0.06657574652633066,0.04326824517588829
Normal,Local linear,0.040416535535201706,0.03536598203694208
Normal,B-spline,0.043210649955290704,0.02944092077413485
Normal,Smoothing spline,0.07304372342609677,0.058151928285215315
Normal,Nadaraya-Watson,0.053723832350137835,0.035431797396081266
Normal,Local linear,0.039934441152431215,0.01631032755398569
Normal,B-spline,0.033749653053633574,0.010574059734771546
Normal,Smoothing spline,0.07321912174357956,0.0528126832187934
Normal,Nadaraya-Watson,0.06227828645287812,0.035255240460758994
Normal,Local linear,0.051480295547317916,0.03146686587593142
Normal,B-spline,0.04457276613070604,0.023771933646578147
Normal,Smoothing spline,0.07960941188799359,0.049819321047194554
Normal,Nadaraya-Watson,0.048849275745299556,0.03525136986125876
Normal,Local linear,0.04199213121225171,0.02260898968434326
Normal,B-spline,0.0355998405673769,0.029349065088407955
Normal,Smoothing spline,0.06836757910225577,0.06388072920875773
Normal,Nadaraya-Watson,0.047485903271559916,0.01891695466214785
Normal,Local linear,0.0443574898145163,0.019094455978169528
Normal,B-spline,0.032588207618878644,0.013727676165284142
Normal,Smoothing spline,0.0816193551762163,0.044368382575795506
Normal,Nadaraya-Watson,0.05007303242881262,0.02654609678282427
Normal,Local linear,0.04973529167663286,0.020193656502539403
Normal,B-spline,0.041539465021120985,0.023353660443441893
Normal,Smoothing spline,0.07197337532332428,0.056199795192529434
Normal,Nadaraya-Watson,0.05898711772861046,0.023297800325120063
Normal,Local linear,0.02632521469165941,0.014846765577799848
